Age,Height,Weight,Sex,Year,Season,City,Sport,Medal,AOS,AOE
32,174,78,M,1972,Winter,Sochi,Judo,Gold,1,2
24,175,69,F,2006,Summer,Rio de Janeiro,Water Polo,Thanks,2,4
29,176,70,F,1960,Winter,Barcelona,Fencing,Bronze,3,3
24,173,69,M,1960,Winter,Grenoble,Softball,Silver,2,3
29,172,70,F,1972,Summer,Seoul,Rugby Sevens,Silver,1,2
24,179,75,F,1900,Summer,Sapporo,Swimming,Gold,1,2
29,170,74,M,2012,Summer,Garmisch-Partenkirchen,Fencing,Gold,2,1
25,176,75,F,2014,Winter,Roma,Speed Skating,Bronze,3,8
26,173,74,M,1972,Summer,Berlin,Luge,Gold,1,1
25,171,77,M,1960,Summer,Montreal,Short Track Speed Skating,Silver,3,3
24,173,63,F,1956,Summer,Helsinki,Taekwondo,Gold,1,7
24,173,68,M,1936,Winter,Montreal,Boxing,Gold,1,4
24,177,73,M,2008,Winter,Grenoble,Synchronized Swimming,Thanks,2,6
28,173,78,M,2008,Winter,London,Hockey,Bronze,3,2
30,178,73,M,2012,Summer,Montreal,Golf,Silver,1,1
25,178,75,F,1928,Summer,Helsinki,Hockey,Silver,1,8
23,179,66,M,1932,Summer,Amsterdam,Football,Thanks,1,8
22,180,72,M,1956,Winter,Vancouver,Archery,Thanks,1,2
27,177,73,M,1956,Summer,Sydney,Art Competitions,Thanks,1,1
24,176,67,M,1980,Summer,Paris,Athletics,Thanks,1,6
28,177,69,F,1956,Summer,Lake Placid,Sailing,Thanks,1,1
33,173,73,M,1906,Summer,Sydney,Football,Thanks,1,1
21,176,71,M,2010,Summer,Antwerpen,Athletics,Thanks,1,6
20,180,74,M,1936,Winter,Sydney,Nordic Combined,Thanks,1,2
30,172,61,M,1960,Summer,Nagano,Basketball,Thanks,1,1
26,176,75,M,2010,Summer,Calgary,Alpine Skiing,Thanks,3,8
27,186,66,M,1972,Summer,Rio de Janeiro,Athletics,Thanks,1,1
24,170,64,M,2012,Summer,Montreal,Nordic Combined,Thanks,1,1
23,177,68,M,1988,Summer,Seoul,Lacrosse,Thanks,1,8
27,178,73,M,1968,Summer,Antwerpen,Fencing,Thanks,1,8
27,175,77,M,2012,Summer,London,Fencing,Thanks,1,1
25,178,62,M,2004,Summer,Squaw Valley,Baseball,Thanks,1,1
28,171,79,M,1976,Summer,Lillehammer,Athletics,Thanks,1,1
30,180,86,M,1906,Summer,Sochi,Freestyle Skiing,Thanks,1,4
26,176,79,M,2004,Summer,Amsterdam,Athletics,Thanks,1,1
27,179,79,M,1912,Summer,Moskva,Shooting,Thanks,1,1
24,172,77,M,1948,Summer,Athina,Athletics,Thanks,1,1
23,178,84,M,1996,Summer,Antwerpen,Curling,Thanks,1,1
21,172,79,F,1896,Summer,London,Football,Thanks,1,1
27,175,76,M,1896,Summer,London,Luge,Thanks,1,1
26,175,68,F,1992,Summer,Munich,Handball,Thanks,1,1
21,171,64,M,2004,Summer,Paris,Synchronized Swimming,Thanks,1,1
17,171,51,M,2000,Summer,Los Angeles,Short Track Speed Skating,Thanks,1,1
24,171,72,M,1912,Summer,Sarajevo,Biathlon,Thanks,1,1
29,178,75,M,2016,Summer,Calgary,Cycling,Thanks,1,1
29,178,70,M,2000,Summer,Los Angeles,Athletics,Gold,1,1
27,170,67,M,1948,Summer,Tokyo,Diving,Thanks,1,1
24,178,66,F,2004,Summer,Los Angeles,Hockey,Thanks,1,1
30,184,84,M,1998,Summer,Berlin,Golf,Thanks,1,1
30,180,81,M,1904,Summer,Seoul,Athletics,Thanks,1,1
22,171,58,F,2014,Summer,Amsterdam,Wrestling,Thanks,1,1
30,176,77,M,2014,Summer,Los Angeles,Rhythmic Gymnastics,Thanks,1,1
30,189,69,M,1984,Summer,Atlanta,Athletics,Thanks,1,7
30,181,85,M,1968,Summer,Los Angeles,Sailing,Thanks,1,1
25,181,67,M,2006,Summer,Lake Placid,Ski Jumping,Thanks,1,1
32,183,88,M,1928,Summer,Sochi,Bobsleigh,Thanks,1,1
18,178,66,M,2016,Summer,Barcelona,Athletics,Thanks,1,1
24,175,55,M,1996,Summer,Antwerpen,Rhythmic Gymnastics,Thanks,1,1
19,172,67,M,2000,Summer,Athina,Basketball,Thanks,1,1
23,170,52,M,2004,Summer,Antwerpen,Swimming,Thanks,1,1
23,173,72,M,1948,Summer,Barcelona,Canoeing,Thanks,1,6
26,192,93,M,2008,Summer,London,Fencing,Thanks,1,1
26,180,68,M,1952,Summer,Helsinki,Volleyball,Thanks,1,1
22,175,61,M,1952,Summer,Garmisch-Partenkirchen,Athletics,Thanks,1,1
30,171,63,F,1948,Summer,Atlanta,Swimming,Thanks,1,2
32,185,84,M,1988,Summer,Sankt Moritz,Football,Thanks,1,1
34,186,83,M,1960,Summer,Roma,Table Tennis,Bronze,1,1
23,185,70,M,1906,Summer,Rio de Janeiro,Skeleton,Thanks,1,1
26,181,63,M,1988,Summer,Atlanta,Swimming,Thanks,1,2
22,164,56,M,1976,Summer,Sapporo,Football,Thanks,1,1
25,189,70,M,1992,Summer,Sydney,Lacrosse,Thanks,1,2
24,187,77,M,1994,Summer,Roma,Football,Thanks,1,1
26,190,94,M,1912,Summer,Stockholm,Skeleton,Thanks,1,1
20,178,79,F,2000,Summer,Innsbruck,Hockey,Thanks,1,1
20,174,76,M,2010,Summer,Sarajevo,Wrestling,Thanks,1,1
21,175,65,M,1972,Summer,Los Angeles,Athletics,Thanks,1,1
30,192,104,M,2008,Winter,Berlin,Football,Thanks,1,1
19,184,73,F,1992,Summer,Moskva,Synchronized Swimming,Gold,1,1
20,161,57,M,2006,Summer,Antwerpen,Snowboarding,Thanks,1,1
26,169,68,M,1992,Summer,Stockholm,Figure Skating,Thanks,1,1
22,172,74,F,1928,Summer,London,Athletics,Thanks,1,1
27,184,92,M,1976,Winter,Innsbruck,Shooting,Thanks,1,1
21,154,40,F,1928,Summer,Beijing,Cycling,Thanks,2,1
